SITE_HISTORY_ID,SITE_OLD_ID,SITE_NAME,SITE_PREVIOUS_NAME,SITE_BASIN,SITE_LOCATION,SITE_RIVMILE,SITE_HUC8,SITE_RIB_ID,SITE_STATION,SITE_DESC,SITE_LATITUDE,SITE_LONGITUDE,SITE_CITY_TOWN,SITE_COUNTY,SITE_FIPS_CDE,SITE_DEC_REGION,SITE_NHD_REACHCODE,SITE_NHD_M_VALUE,SITE_PWL_ID,SITE_WATERSHED_ID_NUM,SITE_WQ_STANDARD,SITE_ECO_REGION,SITE_HABITAT_TYPE,SITE_SITE_CONDITION,SITE_DRAINAGE,SITE_NTL_ELEVATION_DATASET_10
01-BOUR-0.4,2368,Bourne Creek,BOUR-01 (pre-2016),1,BOUR,0.4,4120101,1053400,1,rte 5 bridge.,42.35706,-79.5515,Westfield,Chautauqua,13,9,NA,NA,0105-0024,E-61,C,7,NA,NA,7.93,187.351
01-BOWE-5.2,1435,Bowen Creek,BOWE-01 (pre-2016),1,BOWE,5.2,4120104,NA,1,pike rd. bridge.,42.95635,-78.25796,Alexander,Genesee,37,8,NA,NA,0102-0036,ONT-158-12-28,C,7,NA,NA,22.04,272.5217
01-BROC-0.1,42674958,Unnamed Tributary To Brocton Reservoir,NA,1,BROC,0.1,4120101,NA,0.1,burr rd.,42.365518,-79.424251,Portland,Chautauqua,13,9,NA,NA,0105-0026,Ont 158..E-50-P160k-,A,7,NA,NA,4.55,284.174
01-BSIS-11.4,2380,Big Sister Creek,BSIS-00 (pre-2017),1,BSIS,11.4,4120103,NA,0,10 m below cain rd. bridge.,42.60895,-78.94638,Evans,Erie,29,9,NA,NA,0104-0047,E-2,C,7,NA,NA,56.9,230.0948
01-BSIS-2.0,108,Big Sister Creek,BSIS-01 (pre-2017),1,BSIS,2,4120103,01041202B,1,20 m below rt. 5 bridge.,42.65706,-79.03608,Evans,Erie,29,9,NA,NA,0104-0013,E-2,C(T),7,NA,NA,0.09,182.5146
01-BSIS-8.6,3137,Big Sister Creek,BSIS-01A (pre-2017),1,BSIS,8.6,4120103,1041208,01A,between pontiac and versailles rd. bridge. split in stream.,42.62475,-78.96739,Evans,Erie,29,9,NA,NA,0104-0047,E-2,C,7,NA,NA,68.56,213.2579
01-BUFC-2.2,111,Buffalo Creek,BUFF-03; BUFC-03 (pre-2016),1,BUFC,2.2,4120103,1032311,3,40 m below rt. 277 bridge at usgs gaging station.,42.85474,-78.75507,West Seneca,Erie,29,9,NA,NA,0103-0003,E-1,B,7,NA,NA,68.56,182.534
01-BUFC-21.2,1443,Buffalo Creek,BUFC-01 (ore-2016),1,BUFC,21.2,4120103,NA,1,50 m above rte 20a bridge.,42.76775,-78.53103,Wales,Erie,29,9,NA,NA,0103-0004,E-1,A,7,NA,NA,271.53,267.991
01-BUFC-37.8,42674959,Buffalo Creek,BUFC-23.6 (pre-2017),1,BUFC,37.8,4120103,1032337,37.8,100 m off cr 395.,42.64,-78.462,Java,Wyoming,121,9,NA,NA,0103-0004,Ont 158..E- 1*,A,7,NA,NA,23.18,368.7733
01-BUFC-7.3,112,Buffalo Creek,BUFF-03A; BUFC-03A (ore-2016),1,BUFC,7.3,4120103,NA,03A,at knabb rd. bridge.,42.84521,-78.67744,Elma,Erie,29,9,NA,NA,0103-0003,E-1,B,7,NA,NA,350.74,205.439
01-BUFC_T48-0.2,3332,Unnamed Tributary To Buffalo Creek,BUFC-A (pre-2017),1,BUFC_T48,0.2,4120103,NA,A,40 m above sr 78 bridge; box culvert.,42.69755,-78.44789,Sheldon,Wyoming,121,9,NA,NA,0103-0004,E-1-48,C,7,NA,NA,1.99,312.175
01-BUFC_T59-0.8,42674960,Unnamed Tributary To Buffalo Creek,BUFT-0.8 (pre-2017),1,BUFC_T59,0.8,4120103,NA,0.8,640 m off michigan rd.,42.631802,-78.4393,Java,Wyoming,121,9,NA,NA,0103-0004,Ont 158..E- 1*,C,7,NA,NA,5.57,401.9373
01-BUFF-0.1,2790,Buffalo River,NA,1,BUFF,0.1,4120103,NA,8,near mouth. at coast guard station. red buoy 4.,42.878,-78.88699,Buffalo,Erie,29,9,NA,NA,0104-0033,E,B,7,Large_River,Altered,1130.58,173.735
01-BUFF-1.7,113,Buffalo River,NA,1,BUFF,1.7,4120103,1031002,7,below ohio st. bridge.,42.86194,-78.86787,Buffalo,Erie,29,9,NA,NA,0103-0001,E-1,C,7,Large_River,Altered,1110.79,173.74
01-BUFF-5.9,2789,Buffalo River,NA,1,BUFF,5.9,4120103,NA,6,bailey ave bridge.,42.86198,-78.8251,Buffalo,Erie,29,9,NA,NA,0103-0001,E-1,C,7,Large_River,Altered,733.15,173.7372
01-BULL-1.5,2373,Bull Creek,NA,1,BULL,1.5,4120104,NA,1,just below townline rd. bridge.,43.06575,-78.82275,Wheatfield,Niagara,63,9,NA,NA,0102-0026,ONT-158-12-3,C,7,NA,NA,53.05,175.8223
01-BUTT-0.1,1430,Buttermilk Creek,NA,1,BUTT,0.1,4120102,NA,1,45 m above thomas corners rd. bridge-gaging station.,42.48288,-78.67675,Ashford,Cattaraugus,9,9,NA,NA,0104-0063,E-23-33,C,7,NA,NA,79.57,339.4123
01-CATT-11.0,176,Cattaraugus Creek,NA,1,CATT,11,4120102,NA,8,200 m below versailles plank rd. bridge.,42.52499,-78.99087,Perrysburg,Cattaraugus,9,9,NA,NA,0104-0053,E-23,C(T),7,NA,NA,1209.48,199.5562
01-CATT-17.5,175,Cattaraugus Creek,CATT 01; CATT-07 (pre-2017),1,CATT,17.5,4120102,NA,7,100 m above rt. 39 (main st.) bridge.,42.46261,-78.93382,Collins,Erie,29,9,NA,NA,0104-0053,E-23,C(T),7,NA,NA,1130.16,224.0425
01-CATT-2.0,178,Cattaraugus Creek,CATT 02; CATT-09 (pre-2017),1,CATT,2,4120102,01041302B,9,at rts. 5 and 20 bridge.,42.5685,-79.10426,Brant,Erie,29,9,NA,NA,0104-0029,E-23,B(T),7,NA,NA,1436.79,174.267
01-CATT-27.3,174,Cattaraugus Creek,NA,1,CATT,27.3,4120102,NA,6,100 m above n. otto rd. bridge; dec fishing access.,42.45687,-78.81208,Collins,Erie,29,9,NA,NA,0104-0074,E-23,B,7,NA,NA,806.66,286.1352
01-CATT-36.9,173,Cattaraugus Creek,NA,1,CATT,36.9,4120102,NA,5,100 m below scoby hill rd. bridge; 300 m below dam.,42.48417,-78.70084,Ashford,Cattaraugus,9,9,NA,NA,0104-0025,E-23,B,7,NA,NA,655.88,320.839
01-CATT-42.8,170,Cattaraugus Creek,NA,1,CATT,42.8,4120102,NA,4,200 m above rt. 240 (vaughn st.) bridge.,42.49735,-78.6392,Concord,Erie,29,9,NA,NA,0104-0020,E-23,B,7,NA,NA,525.84,348.0451
01-CATT-46.9,3318,Cattaraugus Creek,CATT-03A (pre-2017),1,CATT,46.9,4120102,NA,03A,400 m downstream of hake rd. bridge.,42.51262,-78.58609,Sardinia,Erie,29,9,NA,NA,0104-0020,E-23,B,7,NA,NA,489.38,360.1738
01-CATT-48.4,42674961,Cattaragus Creek,NA,1,CATT,48.4,4120102,NA,48.4,750 m downstream of sr 39.,42.53371,-78.47919,Yorkshire,Cattaraugus,9,9,NA,NA,0104-0005,Ont 158..E-23 (portion 5),C(T),7,NA,NA,208.35,413.9021
01-CATT-53.0,169,Cattaraugus Creek,NA,1,CATT,53,4120102,NA,3,100 m above cr 225a bridge.,42.52713,-78.50803,Yorkshire,Cattaraugus,9,9,NA,NA,0104-0005,E-23,C(T),7,NA,NA,225.53,391.6482
01-CATT-56.4,168,Cattaraugus Creek,NA,1,CATT,56.4,4120102,NA,2,150 m below north woods rd. bridge.,42.53685,-78.45947,Arcade,Wyoming,121,9,NA,NA,0104-0005,E-23,C(T),7,NA,NA,206.47,425.4059
01-CATT-58.9,167,Cattaraugus Creek,NA,1,CATT,58.9,4120102,NA,1,40 m above water st. bridge.,42.53564,-78.41977,Arcade,Wyoming,121,9,NA,NA,0104-0005,E-23,C(T),7,NA,NA,110.71,447.2072
01-CATT-64.4,1475,Cattaraugus Creek,NA,1,CATT,64.4,4120102,1041362,0,at east arcade rd. bridge.,42.5693,-78.34674,Arcade,Wyoming,121,9,NA,NA,0104-0005,E-23,C(T),7,NA,NA,36.7,480.2166
01-CATT_S-12.6,1447,South Branch Cattaraugus Creek,CATT-07A (pre-2017),1,CATT_S,12.6,4120102,1042414,07A,rte 11 bridge.,42.356,-78.83286,Otto,Cattaraugus,9,9,NA,NA,0104-0006,E-23-2,C(T),7,NA,NA,170.53,376.8942
01-CATT_T72-0.5,42673968,Unnamed Tributary To Cattaraugus Creek,WCAMC-01 (pre-2017),1,CATT_T72,0.5,4120102,NA,1,upstream of cattaraugus creek at sr 78.,42.633106,-78.3342,Java,Wyoming,121,9,NA,NA,0104-0005,E-23,C(T),7,NA,NA,7.43,509.2346
01-CAZE-0.1,2787,Cazenovia Creek,BUFF-04A; CAZE-04A (pre-2017),1,CAZE,0.1,4120103,NA,04A,rte 20.,42.76003,-78.64523,Aurora,Erie,29,9,NA,NA,0103-0009,E-1-4,B,7,NA,NA,145.46,246.9439
01-CAZE-1.1,NA,Cazenovia Creek,NA,1,CAZE,1.1,4120103,01032101B,NA,at cazenovia st. bridge.,42.850556,-78.80916,Buffalo,Erie,29,9,NA,NA,0103-0009,Ont 158..E- 1- 4,B,7,NA,NA,NA,179.7328
01-CAZE-1.6,195,Cazenovia Creek,BUFF-05A; CAZE-05A (pre-2017),1,CAZE,1.6,4120103,NA,05A,80 m below parkside dr. bridge.,42.84589,-78.80645,Buffalo,Erie,29,9,NA,NA,0103-0009,E-1-4,C,7,NA,NA,358.51,176.8348
01-CAZE-14.5,192,Cazenovia Creek,BUFF 04B; CAZE-04B (pre-2017),1,CAZE,14.5,4120103,NA,04B,50 m above willardshire rd. bridge.,42.7797,-78.6826,Aurora,Erie,29,9,NA,NA,0103-0009,E-1-4,B,7,NA,NA,308.93,233.239
01-CAZE-2.8,2788,Cazenovia Creek,BUFF-05; CAZE-05 (pre-2017),1,CAZE,2.8,4120103,NA,5,seneca st.,42.84068,-78.78628,West Seneca,Erie,29,9,NA,NA,0103-0009,E-1-4,B,7,NA,NA,356.31,179.534
01-CAZE_E-0.3,193,East Branch Cazenovia Creek,BUFF 04C; CAZE-04C (pre-2017),1,CAZE_E,0.3,4120103,1033101,04C,at jewett holmwood rd. bridge.,42.75729,-78.64475,Aurora,Erie,29,9,NA,NA,0103-0011,E-1-4-14,B,7,NA,NA,145.21,248.8657
01-CAZE_E-1.5,2786,East Branch Cazenovia Creek,BUFF-04; CAZE-04  (pre-2017),1,CAZE_E,1.5,4120103,NA,4,mill rd.,42.76076,-78.63026,Aurora,Erie,29,9,NA,NA,0103-0011,E-1-4-14,B,7,NA,NA,139.68,257.0709
01-CAZE_E-15.7,1648,East Branch Cazenovia Creek,CAZE-02 (pre-2017),1,CAZE_E,15.7,4120103,NA,2,200 meters above glenwood rd. bridge.,42.63852,-78.54191,Holland,Erie,29,9,NA,NA,0103-0012,E-1-4-14,B,7,NA,NA,46.29,331.6845
01-CAZE_E-6.3,N/A,East Branch Cazenovia Creek,N/A,1,CAZE_E,6.3,4120103,N/A,N/A,Blakely Rd/Blakely corners Rd bridge. Sample as low gradient and only if LG habitat present.,42.733458,-78.596904,Aurora,Erie,29,9,4.12E+12,NA,0103-0011,Ont 158..E- 1- 4-14,B,7,NA,NA,NA,NA
01-CAZE_E-7.1,42674969,East Branch Cazenovia Creek,ECAZ-7.1 (pre-2017),1,CAZE_E,7.1,4120103,NA,7.1,200 m off olean rd.,42.7272,-78.591,Aurora,Erie,29,9,NA,NA,0103-0011,Ont 158..E- 1- 4-14,B,7,NA,NA,110.41,268.7244
01-CAZE_E_T9-1.5,N/A,Unnamed Trib to East Branch Cazenovia Creek,N/A,1,CAZE_E_T9,1.5,4120103,N/A,N/A,Off Centerline Rd.,42.734986,-78.571634,Wales,Erie,29,9,4.12E+12,NA,0103-0011,Ont 158..E- 1- 4-14,B,7,NA,NA,NA,NA
01-CAZE_T3-1.4,42674962,Unnamed Tributary To Cazenovia Creek,CAZT-1.4 (pre-2017),1,CAZE_T3,1.4,4120103,NA,1.4,reserve rd.,42.810699,-78.74549,West Seneca,Erie,29,9,NA,NA,0103-0009,Ont 158..E- 1- 4,C,7,NA,NA,4.56,212.0784
01-CAZE_W-0.6,194,West Branch Cazenovia Creek,BUFF 04D; CAZE-04D (pre-2017),1,CAZE_W,0.6,4120103,NA,04D,at jewett holmwood rd. bridge.,42.75429,-78.6514,Aurora,Erie,29,9,NA,NA,0103-0013,E-1-4-15,B,7,NA,NA,153.24,250.576
01-CAZE_W-11.0,1652,West Branch Cazenovia Creek,CAZE-01 (pre-2017),1,CAZE_W,11,4120103,NA,1,200 m above rt. 240 bridge.,42.64307,-78.68531,Colden,Erie,29,9,NA,NA,0103-0014,E-1-4-15,B,7,NA,NA,70.95,327.4343
01-CHAU-0.4,216,Chautauqua Creek,CHAU-01 (pre-2017),1,CHAU,0.4,4120101,1051301,1,50 m above rt. 5 bridge.,42.33696,-79.60059,Westfield,Chautauqua,13,9,NA,NA,0105-0001,E-68,C(T),7,NA,NA,91.2,175.251
01-CHAU-14.9,2366,Chautauqua Creek,CHAU-00 (pre-2017),1,CHAU,14.9,4120101,NA,0,10 m above putnam rd. bridge.,42.21111,-79.59804,Westfield,Chautauqua,13,9,NA,NA,0105-0027,E-68,A(T),7,NA,NA,23.54,445.866
01-CHAU-4.0,42674963,Chautauqua Creek,NA,1,CHAU,4,4120101,NA,4,125 m off mount baldy rd.,42.30599,-79.5766,Westfield,Chautauqua,13,9,NA,NA,0105-0001,Ont 158..E-68,C(T),7,NA,NA,68.55,224.551
01-CLAR-0.6,1449,Clear Creek,CATT-08B; CLAR-02; CLAR-08B (pre-2017),1,CLAR,0.6,4120102,1042301,08B,rte 438 bridge.,42.5429,-79.01499,Collins,Erie,29,9,NA,NA,0104-0024,E-23-6,C(TS),7,NA,NA,143.73,191.667
01-CLAR-18.5,N/A,Clear Creek,N/A,1,CLAR,18.5,4120102,N/A,N/A,Off rt 39,42.494664,-78.820085,Collins,Erie,29,9,4.12E+12,NA,0104-0054,Ont 158..E-23- 6,C(TS),7,NA,NA,NA,NA
01-CLAR-3.3,177,Clear Creek,CATT-08A; CLAR-01 (pre-2017),1,CLAR,3.3,4120102,NA,1,200 m above versailles plank rd. bridge.,42.54071,-78.98024,Collins,Erie,29,9,NA,NA,0104-0024,E-23-6,C(TS),7,NA,NA,137.09,206.171
01-CLAR-8.9,2377,Clear Creek,CLAR-00 (pre-2017),1,CLAR,8.9,4120102,NA,0,10 m below rte 62 bridge.,42.49902,-78.92867,Collins,Erie,29,9,NA,NA,0104-0054,E-23-6,C(TS),7,NA,NA,62.62,243.151
01-CLAR_N-0.1,42674996,North Branch Clear Creek,CLAR-C (pre-2017),1,CLAR_N,0.1,4120102,NA,C,sisson hwy.,42.567116,-78.846825,North Collins,Erie,29,9,NA,NA,0104-0056,Ont 158..E-23- 6-4,A,7,NA,NA,7.16,371.0459
01-CLAR_N-1.3,1448,North Branch Clear Creek,CATT-08AA; CLAR-A; CLAR-08AA (pre-2017),1,CLAR_N,1.3,4120102,NA,08AA,at jennings rd. bridge.,42.5221,-78.93224,Collins,Erie,29,9,NA,NA,0104-0055,E-23-6-4,C(TS),7,NA,NA,51.55,236.6781
01-CLAR_N-7.4,2389,North Branch Clear Creek,CLAR-B (pre-2017),1,CLAR_N,7.4,4120102,NA,B,marshfield rd. bridge.,42.54389,-78.85306,North Collins,Erie,29,9,NA,NA,0104-0055,E-23-6-4,C,7,NA,NA,15.53,350.8535
01-CLEA-0.1,2398,Clear Creek,CATT-01A; CLEA-01A (pre-2016),1,CLEA,0.1,4120102,1042500,01A,rte 39.,42.53417,-78.42139,Arcade,Wyoming,121,9,NA,NA,0104-0031,E-23-56,C(TS),7,NA,NA,83.22,448.152
01-CLEA-3.1,3138,Clear Creek,CLEA-00(pre-2017),1,CLEA,3.1,4120102,1042503,0,off route 98 and sparks rd.; walk downstream from dec fishing access.,42.50608,-78.38956,Freedom,Cattaraugus,9,9,NA,NA,0104-0031,E-23-56,C(TS),7,NA,NA,68.2,480.9464
01-COEL-1.5,3327,Corell Creek,COEL-01 (pre-2017),1,COEL,1.5,4120101,NA,1,20 m above fuller rd. culvert.,42.3856,-79.46629,Portland,Chautauqua,13,9,NA,NA,0105-0024,E-51,C,7,NA,NA,8.49,210.5342
01-CONN-0.2,1432,Connoisarauley Creek,CONN-01 (pre-2017),1,CONN,0.2,4120102,NA,1,10 m below hammond hill rd. bridge.,42.47054,-78.74789,East Otto,Cattaraugus,9,9,NA,NA,0104-0061,E-23-27,B(TS),7,NA,NA,56.26,307.6435
01-CONN-2.5,3311,Connoisarauley Creek,CONN-00 (pre-2017),1,CONN,2.5,4120102,NA,0,west connoisarauley rd. at old bridge location.,42.45069,-78.72758,East Otto,Cattaraugus,9,9,NA,NA,0104-0061,Ont 158..E-23-27,B(TS),7,NA,NA,46.72,351.4357
01-CONN-6.5,NA,Connoisarauley Creek,NA,1,CONN,6.5,4120102,NA,0,Connoisarauley Creek salt shed. 50 m DS of salt shed. State owned.,42.412409,-78.689981,Ashford,Cattaraugus,9,9,4.12E+12,NA,0104-0062,Ont 158..E-23-27,C(T),7,NA,NA,46.72,351.4357
01-CRKB-0.2,2405,Crooked Brook,CRKB-01 (pre-2016),1,CRKB,0.2,4120101,NA,1,10 m below rte 5 bridge.,42.48265,-79.3559,Dunkirk,Chautauqua,13,9,NA,NA,0105-0019,E-36,C,7,NA,NA,13.95,176.6602
01-CRKB-2.1,42674965,Crooked Brook,NA,1,CRKB,2.1,4120101,1053202,2.1,130 m north of beaver creek rd.,42.46938,-79.3309,Dunkirk,Chautauqua,13,9,NA,NA,0105-0019,Ont 158..E-36,C,7,NA,NA,7.55,190.986
01-CRKB_T1-0.7,42674964,Unnamed Tributary To Crooked Brook,CRKB-T-1 (pre-2017),1,CRKB_T1,0.7,4120101,NA,T-1,willow rd.,42.471273,-79.34838,Dunkirk,Chautauqua,13,9,NA,NA,0105-0019,Ont 158..E-36,C,7,NA,NA,2.99,187.5594
01-CROW-0.4,2409,Crow Creek,CROW-01 (pre-2016),1,CROW,0.4,4120104,NA,1,10 m upstream of exchange rd. bridge.,42.84372,-78.27525,Attica,Wyoming,121,9,NA,NA,0102-0023,ONT-158-12-46,A,7,NA,NA,24.2,304.3227
01-CWAY-0.2,279,Canadaway Creek,CWAY-01; CWAY-02 (pre-2016),1,CWAY,0.2,4120101,1051200,2,at rt. 5 bridge.,42.47538,-79.36556,Dunkirk,Chautauqua,13,9,NA,NA,0105-0008,E-37,B(TS),7,NA,NA,104.49,174.6246
01-CWAY-14.5,42674966,Canadaway Creek,CWAY-14.5  (pre-2016),1,CWAY,14.5,4120101,1051214,14.5,cr 312.,42.3672,-79.23686,Arkwright,Chautauqua,13,9,NA,NA,0105-0020,Ont 158..E-37,B,7,NA,NA,14.86,427.0119
01-CWAY-7.4,2370,Canadaway Creek,CWAY-00; CWAY01 (pre-2015),1,CWAY,7.4,4120101,NA,1,10 m upstream of spoden rd. bridge.,42.40326,-79.30452,Pomfret,Chautauqua,13,9,NA,NA,0105-0020,E-37,B,7,NA,NA,41.23,263.8293
01-CWAY-8.3,3313,Canadaway Creek,CWAY 00 (2015),1,CWAY,8.3,4120101,NA,0,50 m above shumla rd. bridge.,42.39059,-79.30078,Pomfret,Chautauqua,13,9,NA,NA,0105-0020,E-37,B,7,NA,NA,39.3,292.1498
01-CYGA-1.2,NA,Cayuga Creek,NA,1,CYGA,1.2,4120104,01012101B,NA,SR 62,43.091944,-78.9625,Niagara Falls,Niagara,63,9,NA,NA,0101-0001,ONT-158-8,C,7,NA,NA,NA,NA
01-CYGA-2.4,1476,Cayuga Creek,CYGA-01 (pre-2017),1,CYGA,2.4,4120104,NA,1,at rt. 182 (porter rd.) bridge.,43.10106,-78.95743,Niagara,Niagara,63,9,NA,NA,0101-0001,ONT-158-8,C,7,NA,NA,31.47,174.1876
01-DELC-1.4,1444,Delaware Creek,DELC-01 (pre-2017),1,DELC,1.4,4120103,NA,1,10 m below rte 5 bridge.,42.62989,-79.05396,Evans,Erie,29,9,NA,NA,0104-0050,E-21,B(TS),7,NA,NA,19.92,187.1142
01-DREC-0.1,2396,Dresser Creek,NA,1,DREC,0.1,4120102,NA,1,20 m below sr 39.,42.51333,-78.56778,Sardinia,Erie,29,9,NA,NA,0104-0075,E-23-45,C,7,NA,NA,9.27,375.4172
01-DUNE-3.0,42674967,Unnamed Tributary To Lake Erie,NA,1,DUNE,3,4120101,NA,3,chapin rd.,42.512143,-79.22313,Sheridan,Chautauqua,13,9,NA,NA,0105-0015,Ont 158..E-26 thru 41 (selected),C,7,NA,NA,6.36,211.8817
01-DURK-2.7,42674968,Durkee Creek,NA,1,DURK,2.7,4120104,NA,2.7,50 m off county line rd.,42.887001,-78.4646,Alden,Erie,29,9,NA,NA,0102-0024,Ont 158-12- 1,C,7,NA,NA,5.03,276.8033
01-ELEV-0.2,2385,Elevenmile Creek,ELEV-01 (pre-2016),1,ELEV,0.2,4120104,NA,1,20 m above sumner rd. bridge.,42.9223,-78.42396,Darien,Genesee,37,8,NA,NA,0102-0024,ONT-158-12-1,C,7,NA,NA,27.78,259.4846
01-ELLI-10.3,315,Ellicott Creek,ELLI 01; ELLI-06 (pre-2016),1,ELLI,10.3,4120104,1022111,6,80 m below sheridan dr. (rt. 324) bridge.,42.9788,-78.764,Amherst,Erie,29,9,NA,NA,0102-0018,ONT-158-12-1,B,7,NA,NA,206.36,180.7359
01-ELLI-12.3,1478,Ellicott Creek,ELLI-05 (pre-2016),1,ELLI,12.3,4120104,NA,5,in back of tennis/ racquet club. off mill st.,42.96861,-78.74682,Amherst,Erie,29,9,NA,NA,0102-0018,ONT-158-12-1,B,7,NA,NA,197.13,184.0677
01-ELLI-17.5,1503,Ellicott Creek,ELLI-04 (pre-2016),1,ELLI,17.5,4120104,NA,4,100 m below main st. bridge.,42.94215,-78.68706,Lancaster,Erie,29,9,NA,NA,0102-0018,ONT-158-12-1,B,7,NA,NA,174.38,211.7611
01-ELLI-22.9,1502,Ellicott Creek,ELLI-03 (pre-2016),1,ELLI,22.9,4120104,NA,3,pavement rd.; under bridge.,42.93773,-78.62292,Lancaster,Erie,29,9,NA,NA,0102-0018,ONT-158-12-1,B,7,NA,NA,165.19,218.251
01-ELLI-28.4,1501,Ellicott Creek,ELLI-02 (pre-2016),1,ELLI,28.4,4120104,NA,2,50 m above walden ave bridge.,42.93487,-78.55231,Alden,Erie,29,9,NA,NA,0102-0018,ONT-158-12-1,B,7,NA,NA,103.47,230.4346
01-ELLI-31.3,1500,Ellicott Creek,ELLI-01 (pre-2016),1,ELLI,31.3,4120104,NA,1,20 m below sandbridge rd. bridge.,42.91635,-78.52311,Alden,Erie,29,9,NA,NA,0102-0018,ONT-158-12-1,B,7,NA,NA,100.99,241.4365
01-ELLI-33.8,2386,Ellicott Creek,ELLI-00 (pre-2016),1,ELLI,33.8,4120104,NA,0,5 m below crittenden rd. bridge.,42.91417,-78.49389,Alden,Erie,29,9,NA,NA,0102-0024,ONT-158-12-1,C,7,NA,NA,72.37,250.0629
01-ELLI-7.1,1504,Ellicott Creek,ELLI-07 (pre-2016),1,ELLI,7.1,4120104,NA,7,30 m below st. rita's lane bridge.,43.00677,-78.77586,Amherst,Erie,29,9,NA,NA,0102-0018,ONT-158-12-1,B,7,NA,NA,216.75,174.6738
01-ELTO-4.2,1428,Elton Creek,ELTO-01 (pre-2017),1,ELTO,4.2,4120102,NA,1,at rte 16 bridge.,42.48679,-78.48018,Yorkshire,Cattaraugus,9,9,NA,NA,0104-0064,E-23-48,C(T),7,NA,NA,95.46,431.2416
01-FISN-2.4,42674970,Fish Creek,FISN-01 (pre-2017),1,FISN,2.4,4120104,NA,1,350 m west of upper mountain rd.,43.15813,-78.9798,Lewiston,Niagara,63,9,NA,NA,0101-0029,Ont 158- 1 thru 5,C,7,NA,NA,6.57,187.2507
01-FOST-0.1,3326,Foster Creek,FOST-01 (pre-2017),1,FOST,0.1,4120103,NA,1,downstream of hoover rd. bridge.,42.7776,-78.85986,Hamburg,Erie,29,9,NA,NA,0104-0038,E-4,C,7,NA,NA,7.26,176.5069
